state,x,y
Jammu and Kashmir,-89, 237
Himachal Pradesh,-86, 178
Punjab,-119, 160
Uttarakhand,-61,149
Haryana,-104, 131
Delhi,-91, 118
Rajasthan,-148, 83
Gujrat,-189, 20
Uttar Pradesh,-27, 79
Madhya Pradesh,-74, 9
Maharashtra,-126, -59
Andhra Pradesh,-63, -109
Karnataka,-115, -157
Goa,-154, -137
Tamil Nadu,-73, -226
Kerela,-110, -232
Chattisgarh,3, -13
Odisha,38, -37
Bihar,61, 60
Jharkhand,56, 27
West Bengal,99, 15
Sikkim,106, 103
Arunachal Pradesh,218, 131
Assam,190, 83
Meghalaya,149, 64
Nagaland,217, 79
Manipur,206, 58
Tripura,168, 32
Mizoram,190, 22
